dataset,self_consistency,num_demos_correct,accuracy,demo_distribution
com_v,1,0,-0.0,{4: 954, 3: 45, 2: 1}
com_v,1,1,-0.0,{4: 954, 3: 45, 2: 1}
com_v,1,2,100.0,{4: 954, 3: 45, 2: 1}
com_v,1,3,77.77777777777779,{4: 954, 3: 45, 2: 1}
com_v,1,4,76.72955974842768,{4: 954, 3: 45, 2: 1}
com_v,1,all,76.8,{4: 954, 3: 45, 2: 1}
com_v,1,0,-0.0,{4: 950, 3: 49, 2: 1}
com_v,1,1,-0.0,{4: 950, 3: 49, 2: 1}
com_v,1,2,100.0,{4: 950, 3: 49, 2: 1}
com_v,1,3,75.51020408163265,{4: 950, 3: 49, 2: 1}
com_v,1,4,76.73684210526316,{4: 950, 3: 49, 2: 1}
com_v,1,all,76.7,{4: 950, 3: 49, 2: 1}
com_v,1,0,-0.0,{4: 953, 3: 46, 2: 1}
com_v,1,1,-0.0,{4: 953, 3: 46, 2: 1}
com_v,1,2,100.0,{4: 953, 3: 46, 2: 1}
com_v,1,3,78.26086956521739,{4: 953, 3: 46, 2: 1}
com_v,1,4,75.44596012591815,{4: 953, 3: 46, 2: 1}
com_v,1,all,75.6,{4: 953, 3: 46, 2: 1}
com_v,1,0,-0.0,{4: 949, 3: 50, 2: 1}
com_v,1,1,-0.0,{4: 949, 3: 50, 2: 1}
com_v,1,2,0.0,{4: 949, 3: 50, 2: 1}
com_v,1,3,82.0,{4: 949, 3: 50, 2: 1}
com_v,1,4,77.02845100105374,{4: 949, 3: 50, 2: 1}
com_v,1,all,77.2,{4: 949, 3: 50, 2: 1}
